Id,Probability
1,0.07192939
2,0.045496143
3,0.023259299
4,0.074532144
5,0.09510588
6,0.03977613
7,0.054092564
8,0.039387945
9,0.010038815
10,0.40466312
11,0.017775519
12,0.02886889
13,0.0131247975
14,0.06486223
15,0.04803338
16,0.025535818
17,0.031215858
18,0.023654882
19,0.18869834
20,0.067167774
21,0.015154593
22,0.019559132
23,0.01198627
24,0.54080606
25,0.064598784
26,0.022649832
27,0.09697924
28,0.014008815
29,0.047325138
30,0.030131599
31,0.057839405
32,0.014474745
33,0.023971481
34,0.06476946
35,0.30257457
36,0.05364315
37,0.038686465
38,0.018199556
39,0.019931113
40,0.054447733
41,0.30189073
42,0.23382278
43,0.08343776
44,0.0136277685
45,0.04723235
46,0.009898638
47,0.009907382
48,0.021894742
49,0.027142072
50,0.032480285
51,0.022612253
52,0.020460678
53,0.015653454
54,0.06319312
55,0.026382715
56,0.08492911
57,0.010753982
58,0.114918165
59,0.0860297
60,0.08158729
61,0.029123342
62,0.015152111
63,0.028469494
64,0.018309131
65,0.027859045
66,0.029255895
67,0.020460013
68,0.15239345
69,0.01350187
70,0.6392888
71,0.024897426
72,0.11360343
73,0.0126465205
74,0.16750048
75,0.021481188
76,0.036658324
77,0.08636696
78,0.044883788
79,0.027243854
80,0.02276264
81,0.021221517
82,0.020315325
83,0.0404981
84,0.013351404
85,0.022050034
86,0.025157064
87,0.051368702
88,0.018892573
89,0.03673582
90,0.02728531
91,0.069149025
92,0.021621505
93,0.017821684
94,0.021440692
95,0.011911537
96,0.12006047
97,0.032114375
98,0.07727412
99,0.019855442
100,0.024399538
101,0.06447144
102,0.07494617
103,0.012214188
104,0.06245825
105,0.08157095
106,0.031874683
107,0.3188109
108,0.019214025
109,0.013822482
110,0.027720945
111,0.028016295
112,0.031808373
113,0.030562554
114,0.49096218
115,0.0835725
116,0.015672069
117,0.010351579
118,0.08280882
119,0.021008298
120,0.016778905
121,0.016369846
122,0.063755296
123,0.01802969
124,0.5336834
125,0.018345518
126,0.021370573
127,0.009448533
128,0.023538074
129,0.011600209
130,0.056611855
131,0.030945208
132,0.06695642
133,0.012439745
134,0.07728192
135,0.102305956
136,0.014423741
137,0.16428354
138,0.051687356
139,0.013354747
140,0.021432405
141,0.009557968
142,0.023727935
143,0.01047768
144,0.02662384
145,0.28878078
146,0.023189768
147,0.010367183
148,0.12189632
149,0.01489352
150,0.045183755
151,0.011538457
152,0.019981408
153,0.012756389
154,0.016706403
155,0.02671087
156,0.031647827
157,0.07351267
158,0.011327256
159,0.098082885
160,0.03100209
161,0.010363715
162,0.023366379
163,0.022630192
164,0.065104835
165,0.020188063
166,0.028500373
167,0.6809845
168,0.026387064
169,0.15958533
170,0.020646784
171,0.009557968
172,0.023171224
173,0.025614642
174,0.048555996
175,0.025516994
176,0.3379752
177,0.025804725
178,0.070862636
179,0.018694635
180,0.01944999
181,0.044713955
182,0.017420508
183,0.024226027
184,0.020008897
185,0.10872828
186,0.016290974
187,0.017779408
188,0.040192485
189,0.053559948
190,0.030680649
191,0.027262677
192,0.041611396
193,0.021436661
194,0.06397981
195,0.02349982
196,0.035061147
197,0.012246754
198,0.01539395
199,0.01665968
200,0.012607426
201,0.06597009
202,0.0289896
203,0.25701848
204,0.041221406
205,0.032766595
206,0.011734664
207,0.024520008
208,0.011311248
209,0.077839695
210,0.010221459
211,0.099838965
212,0.031262916
213,0.022147909
214,0.014474058
